PIXEL,WAVELENGTH,LEAF,GRAY,WHITE,BG
0,240.2,16.0000,16.0000,15.9291,16.2385
1,242.4,16.0000,16.0000,15.9989,16.0038
2,244.6,16.0000,16.0000,15.9280,16.2423
3,246.8,16.0000,16.0000,15.9634,16.1231
4,249.0,16.0000,16.0000,15.9303,16.2346
5,251.2,16.0000,16.0000,15.9977,16.0077
6,253.4,16.0000,16.0000,16.0000,16.0000
7,255.6,16.0000,16.0000,16.0000,16.0000
8,257.8,16.0000,16.0000,16.0000,16.0000
9,260.0,16.0000,16.0000,16.0000,16.0000
10,262.2,16.0000,16.0000,16.0000,16.0000
11,264.4,16.0000,16.0000,16.0000,16.0000
12,266.6,16.0000,16.0000,15.9611,16.1308
13,268.8,16.0000,16.0000,15.9726,16.0923
14,271.0,16.0000,16.0000,15.9737,16.0885
15,273.2,16.0000,16.0000,15.9943,16.0192
16,275.4,16.0000,16.0000,15.9657,16.1154
17,277.6,16.0000,16.0000,16.0000,16.0000
18,279.8,16.0000,16.0000,15.9749,16.0846
19,282.0,16.0000,16.0000,15.4616,17.8115
20,284.2,16.0000,16.0000,15.9886,16.0385
21,286.4,16.0000,16.0000,16.0000,16.0000
22,288.6,16.0000,16.0000,15.8377,16.5462
23,290.8,16.0000,16.0000,15.9406,16.2000
24,293.0,16.0000,16.0000,15.9634,16.1231
25,295.2,16.0000,16.0000,16.0000,16.0000
26,297.4,16.0000,16.0000,16.0000,16.0000
27,299.6,16.0000,16.0000,15.9451,16.1846
28,301.8,16.0000,16.0000,15.9211,16.2654
29,304.0,16.0000,16.0000,16.0000,16.0000
30,306.2,16.0000,16.0000,16.0000,16.0000
31,308.4,16.0000,16.0000,16.0000,16.0000
32,310.6,16.0000,16.0000,16.0000,16.0000
33,312.8,16.0000,16.0000,16.0000,16.0000
34,315.0,16.0000,16.0000,16.0000,16.0000
35,317.2,16.0000,16.0000,15.8102,16.6385
36,319.4,16.0000,16.0000,16.0000,16.0000
37,321.6,16.0000,16.0000,15.8994,16.3385
38,323.8,16.0000,16.0000,16.0000,16.0000
39,326.0,16.0000,16.0000,16.0000,16.0000
40,328.2,16.0000,16.0000,16.0000,16.0000
41,330.4,16.0000,16.0000,15.9954,16.0154
42,332.6,16.0000,16.0000,15.9806,16.0654
43,334.8,16.0000,16.0000,16.0000,16.0000
44,337.0,16.0000,16.0000,15.8411,16.5346
45,339.2,16.0000,16.0000,16.0000,16.0000
46,341.4,16.0000,16.0000,16.0000,16.0000
47,343.6,16.0000,16.0000,15.9943,16.0192
48,345.8,16.0000,16.0000,15.9954,16.0154
49,348.0,16.0000,16.0000,15.9918,16.0269
50,350.2,16.0029,16.0000,15.9454,16.1769
51,352.4,16.0000,16.0000,16.0000,16.0000
52,354.6,16.0000,16.0000,15.9988,16.0038
53,356.8,16.0000,16.0000,15.9614,16.1154
54,359.0,16.0000,16.0000,16.0000,16.0000
55,361.2,16.0000,16.0000,16.0000,16.0000
56,363.4,16.0000,16.0000,15.9986,16.0038
57,365.6,16.0000,16.0000,16.0000,16.0000
58,367.8,16.0000,16.0000,15.9615,16.0923
59,370.0,16.0000,16.0000,15.9729,16.0615
60,372.2,16.0000,16.0000,15.6357,16.7846
61,374.4,16.0000,16.0000,15.8568,16.2923
62,376.6,16.0000,16.0000,16.0000,16.0000
63,378.8,16.0000,16.0000,16.0000,16.0000
64,381.0,16.0000,16.0000,16.0000,16.0000
65,383.2,16.0000,16.0000,16.0000,16.0000
66,385.4,16.0000,16.0000,16.0000,16.0000
67,387.6,16.0000,16.0000,15.6382,16.5654
68,389.8,16.0000,16.0000,16.0000,16.0000
69,392.0,16.0000,16.0000,15.8187,16.2692
70,394.2,16.0000,16.0000,16.0000,16.0000
71,396.4,16.0000,16.0000,16.0000,16.0000
72,398.6,16.0000,16.0000,15.9889,16.0154
73,400.8,16.0000,16.0000,15.8839,16.1577
74,403.0,16.0000,16.0000,15.7284,16.3615
75,405.2,16.0000,16.0000,15.9941,16.0077
76,407.4,16.0000,16.0000,16.0000,16.0000
77,409.6,16.0000,16.0000,15.7981,16.2538
78,411.8,16.0000,16.0000,15.9969,16.0038
79,414.0,16.0000,16.0000,15.2288,16.9346
80,416.2,16.0000,16.0000,16.0000,16.0000
81,418.4,16.0000,16.0000,16.0000,16.0000
82,420.6,16.0000,16.0000,16.0000,16.0000
83,422.8,16.0000,16.0000,15.8110,16.2115
84,425.0,16.0000,16.0000,16.0000,16.0000
85,427.2,16.0000,16.0000,15.9397,16.0654
86,429.4,16.0000,16.0000,15.9928,16.0077
87,431.6,16.0000,16.0000,15.9927,16.0077
88,433.8,16.0000,16.0000,16.0000,16.0000
89,436.0,16.0000,16.0000,15.9293,16.0731
90,438.2,16.0000,16.0000,16.0000,16.0000
91,440.4,16.0000,16.0000,16.0000,16.0000
92,442.6,16.0000,16.0000,16.0000,16.0000
93,444.8,16.0000,16.0000,15.8953,16.1038
94,447.0,16.0000,16.0000,15.9608,16.0385
95,449.2,16.0000,16.0000,15.8818,16.1154
96,451.4,16.0000,16.1933,16.3924,16.0000
97,453.6,16.0000,17.5000,19.0155,16.0346
98,455.8,16.0000,19.4933,22.1202,16.9654
99,458.0,16.0000,21.8600,27.9105,16.0654
100,460.2,16.0086,24.8867,33.9166,16.2731
101,462.4,16.0457,28.2133,40.9126,16.1577
102,464.6,16.0886,32.9667,50.8275,16.0923
103,466.8,16.2371,44.9133,75.6766,16.0000
104,469.0,17.1343,90.0867,169.2616,16.0000
105,471.2,17.4200,116.1667,223.6423,16.0000
106,473.4,16.7057,77.4467,143.0437,16.6038
107,475.6,16.3057,49.2800,85.3045,16.0000
108,477.8,16.3514,51.1067,88.9642,16.2731
109,480.0,16.3857,53.0933,93.2448,16.3115
110,482.2,16.4514,54.8333,97.1756,16.2462
111,484.4,16.4600,56.0333,100.2098,16.0000
112,486.6,16.4829,56.8867,102.2375,16.0192
113,488.8,16.4829,57.1667,103.0884,16.0000
114,491.0,16.4971,56.8533,102.6455,16.0000
115,493.2,16.4657,56.0400,101.0116,16.1115
116,495.4,16.4714,54.6800,98.0988,16.2846
117,497.6,16.4514,53.6267,96.3131,16.0000
118,499.8,16.4200,51.9533,92.6056,16.2346
119,502.0,16.4086,50.6533,90.0286,16.1538
120,504.2,16.3886,48.8933,86.5411,16.0000
121,506.4,16.3571,46.9067,82.2983,16.0962
122,508.6,16.3257,45.0400,78.5054,16.0000
123,510.8,16.2771,43.3600,74.7775,16.1846
124,513.0,16.3000,43.1200,74.3657,16.1692
125,515.2,16.3429,45.8467,80.4400,16.0923
126,517.4,16.5000,54.1333,98.2751,16.2577
127,519.6,16.8457,70.0333,133.1835,16.0000
128,521.8,17.1800,85.1067,166.1014,16.0000
129,524.0,17.2686,88.3133,173.3740,16.0000
130,526.2,17.1200,80.6067,156.4376,16.3731
131,528.4,16.8857,69.7867,133.4924,16.0192
132,530.6,16.6629,58.7867,109.6661,16.0000
133,532.8,16.4886,49.1933,88.8084,16.0000
134,535.0,16.2771,39.2667,67.1243,16.0000
135,537.2,16.1114,30.5133,47.2881,16.5538
136,539.4,16.0400,25.8533,37.4493,16.2346
137,541.6,16.0086,23.2800,32.0848,16.0000
138,543.8,16.0000,21.7667,28.7581,16.0000
139,546.0,16.0000,21.0867,27.2661,16.0000
140,548.2,16.0000,20.5600,26.1064,16.0000
141,550.4,16.0000,20.0200,24.6850,16.1846
142,552.6,16.0000,19.4333,23.1930,16.3423
143,554.8,16.0000,18.9867,22.5117,16.0885
144,557.0,16.0000,18.3000,20.8299,16.2192
145,559.2,16.0000,18.1600,20.6729,16.0923
146,561.4,16.0000,18.2400,20.9601,16.0000
147,563.6,16.0000,18.8200,22.1984,16.0346
148,565.8,16.0000,20.5933,25.9409,16.1808
149,568.0,16.0286,25.3733,36.5420,16.1538
150,570.2,16.2400,37.9333,64.5036,16.0000
151,572.4,16.9000,66.8600,128.3387,16.1308
152,574.6,19.8000,117.5267,240.6662,16.0000
153,576.8,27.9914,139.3600,289.0126,16.1231
154,579.0,33.2714,152.9200,319.2375,16.1808
155,581.2,28.9771,148.3733,309.7666,16.0038
156,583.4,21.3314,132.1600,274.0440,16.0731
157,585.6,18.4714,109.2867,223.5088,16.0962
158,587.8,17.3143,72.4267,141.2534,16.4769
159,590.0,16.5486,44.8600,80.4772,16.0000
160,592.2,16.1371,28.3067,43.1773,16.2962
161,594.4,16.0029,21.8200,29.0493,16.0000
162,596.6,16.0000,19.2933,23.3941,16.0000
163,598.8,16.0000,17.7400,19.4078,16.4038
164,601.0,16.0000,16.9267,18.0184,16.0538
165,603.2,16.0000,17.0067,18.1955,16.0577
166,605.4,16.0000,18.3133,20.6264,16.4692
167,607.6,16.0000,21.3267,28.0132,16.0000
168,609.8,16.1429,27.9200,42.8832,16.0000
169,612.0,16.4714,40.2333,70.6288,16.0000
170,614.2,16.8800,54.0267,101.4239,16.2077
171,616.4,17.3371,64.9467,126.0895,16.0808
172,618.6,17.4029,73.1067,144.4065,16.0077
173,620.8,17.5343,77.3933,153.9006,16.0000
174,623.0,17.4114,73.2733,144.4301,16.0346
175,625.2,17.1029,61.5000,117.7940,16.0885
176,627.4,16.7371,49.5800,91.0894,16.0000
177,629.6,16.4286,38.6333,66.5434,16.0000
178,631.8,16.2229,30.8067,49.0137,16.0000
179,634.0,16.1714,28.9200,44.7622,16.0000
180,636.2,16.1257,27.6667,41.9317,16.0000
181,638.4,16.1457,29.0933,45.0435,16.0115
182,640.6,16.4286,40.8400,71.0288,16.0000
183,642.8,17.3171,70.5667,136.6600,16.0077
184,645.0,20.6714,122.8267,251.7164,16.0000
185,647.2,21.3857,128.2000,262.0309,16.7846
186,649.4,19.1371,114.6400,232.4644,16.0346
187,651.6,17.8714,82.1133,160.5451,16.0769
188,653.8,17.3800,67.0067,127.1741,16.0000
189,656.0,17.1657,60.6800,112.8207,16.1385
190,658.2,16.9543,52.2600,94.3323,16.0000
191,660.4,16.6343,43.0733,74.0786,16.0923
192,662.6,16.4543,37.6867,62.3489,16.0000
193,664.8,16.4143,36.6000,59.7003,16.0654
194,667.0,16.2686,31.3467,48.3974,16.0000
195,669.2,16.0371,23.0000,30.6751,16.0000
196,671.4,16.0000,18.9467,22.1287,16.0000
197,673.6,16.0000,17.1667,18.3002,16.1000
198,675.8,16.0000,16.7133,17.4591,16.0000
199,678.0,16.0000,16.9533,17.9330,16.0000
200,680.2,16.0000,17.5333,18.9788,16.1000
201,682.4,16.0000,18.5467,21.0317,16.0346
202,684.6,16.0000,19.5733,23.0383,16.0000
203,686.8,16.0000,19.3067,22.3447,16.1077
204,689.0,16.0000,17.5933,19.0753,16.0000
205,691.2,16.0029,16.4067,16.6964,16.0885
206,693.4,16.0000,16.1933,16.3655,16.0000
207,695.6,16.0000,16.5933,16.7282,16.4385
208,697.8,16.0000,17.3333,18.4687,16.0000
209,700.0,16.0086,17.1800,18.1632,16.0000
210,702.2,16.0000,17.0600,17.6197,16.3731
211,704.4,16.0000,16.6733,17.0260,16.2308
212,706.6,16.0000,16.2600,15.9503,16.6577
213,708.8,16.0000,16.2000,16.0859,16.3500
214,711.0,16.0000,16.2133,16.3719,16.0000
215,713.2,16.0000,16.3600,16.6215,16.0000
216,715.4,16.0000,16.3533,16.6043,16.0000
217,717.6,16.0000,16.1533,16.2597,16.0000
218,719.8,16.0000,16.0533,15.9879,16.1500
219,722.0,16.0000,16.2467,16.3589,16.0769
220,724.2,16.0000,16.0933,16.1312,16.0346
221,726.4,16.0000,16.0000,15.7918,16.3308
222,728.6,16.0000,16.0000,16.0000,16.0000
223,730.8,16.0000,16.0000,15.9931,16.0115
224,733.0,16.0000,16.0000,16.0000,16.0000
225,735.2,16.0000,16.0000,16.0000,16.0000
226,737.4,16.0000,16.2600,16.3922,16.0192
227,739.6,16.0000,19.7667,21.7404,16.0654
228,741.8,16.0371,23.5867,27.4985,16.0269
229,744.0,16.0571,24.2933,28.3772,16.1500
230,746.2,16.0314,22.2733,25.3228,16.0000
231,748.4,16.0000,19.0067,20.4222,16.0000
232,750.6,16.0000,16.0400,16.0582,16.0000
233,752.8,16.0000,16.0000,15.9814,16.0423
234,755.0,16.0000,16.0000,15.9967,16.0077
235,757.2,16.0000,16.0000,15.9858,16.0346
236,759.4,16.0000,16.0000,16.0000,16.0000
237,761.6,16.0000,16.0000,15.9971,16.0077
238,763.8,16.0000,16.0000,15.8969,16.2808
239,766.0,16.0000,16.0000,16.0000,16.0000
240,768.2,16.0000,16.0000,16.0000,16.0000
241,770.4,16.0000,16.0000,15.7616,16.7308
242,772.6,16.0000,16.0000,15.8072,16.6154
243,774.8,16.0000,16.0000,16.0000,16.0000
244,777.0,16.0000,16.0000,15.9745,16.0885
245,779.2,16.0000,16.0000,15.8382,16.5846
246,781.4,16.0000,16.0000,15.9837,16.0615
247,783.6,16.0000,16.0000,15.9746,16.1000
248,785.8,16.0000,16.0000,15.9355,16.2654
249,788.0,16.0000,16.0000,15.9991,16.0038
250,790.2,16.0000,16.0000,15.9880,16.0538
251,792.4,16.0000,16.0000,16.0000,16.0000
252,794.6,16.0000,16.0000,15.9607,16.1923
253,796.8,16.0000,16.0000,15.9812,16.0962
254,799.0,16.0000,16.0000,16.0000,16.0000
255,801.2,16.0000,16.0000,15.9743,16.1423
256,803.4,16.0000,16.0000,15.9940,16.0346
257,805.6,16.0000,16.0000,15.9871,16.0769
258,807.8,16.0000,16.0000,15.9864,16.0846
259,810.0,16.0000,16.0000,16.0000,16.0000
260,812.2,16.0000,16.0000,15.9811,16.1269
261,814.4,16.0000,16.0000,15.9995,16.0038
262,816.6,16.0000,16.1400,16.1594,16.0000
263,818.8,16.0000,16.0000,16.0000,16.0000
264,821.0,16.0000,16.0000,16.0000,16.0000
265,823.2,16.0000,16.0000,15.9540,16.3654
266,825.4,16.0000,16.0000,15.9939,16.0500
267,827.6,16.0000,16.0000,15.9681,16.2692
268,829.8,16.0000,16.0000,15.9996,16.0038
269,832.0,16.0000,16.0000,16.0000,16.0000
270,834.2,16.0000,16.0000,16.0000,16.0000
271,836.4,16.0000,16.0000,16.0000,16.0000
272,838.6,16.0000,16.0000,15.9690,16.2962
273,840.8,16.0000,16.0000,16.0000,16.0000
274,843.0,16.0000,16.0000,16.0000,16.0000
275,845.2,16.0000,16.0000,16.0000,16.0000
276,847.4,16.0000,16.0000,15.9655,16.3538
277,849.6,16.0000,16.0000,15.9911,16.0923
278,851.8,16.0000,16.0000,15.9613,16.4077
279,854.0,16.0000,16.0000,15.9795,16.2192
280,856.2,16.0000,16.0000,15.9823,16.1923
281,858.4,16.0000,16.0000,16.0000,16.0000
282,860.6,16.0000,16.0000,15.9972,16.0308
283,862.8,16.0000,16.0000,16.0000,16.0000
284,865.0,16.0000,16.0000,15.9742,16.2923
285,867.2,16.0000,16.0000,16.0000,16.0000
286,869.4,16.0000,16.0000,15.9920,16.0923
287,871.6,16.0000,16.0000,16.0000,16.0000
288,873.8,16.0000,16.0000,16.0000,16.0000
289,876.0,16.0000,16.0000,15.9530,16.5615
290,878.2,16.0000,16.0000,15.9955,16.0538
291,880.4,16.0000,16.0000,16.0000,16.0000
292,882.6,16.0000,16.0000,15.9291,16.8654
293,884.8,16.0000,16.0000,15.9919,16.1000
294,887.0,16.0000,16.0000,15.9963,16.0462
295,889.2,16.0000,16.0000,15.9997,16.0038
296,891.4,16.0000,16.0000,15.9985,16.0192
297,893.6,16.0000,16.0000,15.9786,16.2692
298,895.8,16.0000,16.0000,15.9939,16.0769
299,898.0,16.0000,16.0000,16.0000,16.0000
300,900.2,16.0000,16.0000,15.9997,16.0038
301,902.4,16.0000,16.0000,15.9931,16.0885
302,904.6,16.0000,17.2667,17.3404,16.3231
303,906.8,16.0057,17.5933,17.6974,16.2577
304,909.0,16.0000,16.0000,15.9592,16.5231
305,911.2,16.0000,16.0000,16.0000,16.0000
306,913.4,16.0000,16.0000,16.0000,16.0000
307,915.6,16.0000,16.0000,15.9518,16.6192
308,917.8,16.0000,16.0000,16.0000,16.0000
309,920.0,16.0000,16.0000,15.9791,16.2692
310,922.2,16.0000,16.0000,15.9845,16.2000
311,924.4,16.0000,16.0000,15.9997,16.0038
312,926.6,16.0000,16.0000,16.0000,16.0000
313,928.8,16.0000,16.0000,15.9663,16.4385
314,931.0,16.0000,16.0000,15.9879,16.1577
315,933.2,16.0000,16.0000,16.0000,16.0000
316,935.4,16.0000,16.0000,16.0000,16.0000
317,937.6,16.0000,16.0000,15.9879,16.1577
318,939.8,16.0000,16.0000,15.9994,16.0077
319,942.0,16.0000,16.0000,16.0000,16.0000
320,944.2,16.0000,16.0000,16.0000,16.0000
321,946.4,16.0000,16.0000,15.9882,16.1538
322,948.6,16.0000,16.0000,15.9911,16.1154
323,950.8,16.0000,16.0000,16.0000,16.0000
324,953.0,16.0000,16.0000,16.0000,16.0000
325,955.2,16.0000,16.0000,15.9935,16.0846
326,957.4,16.0000,16.0000,15.9445,16.7231
327,959.6,16.0000,16.0000,15.9941,16.0769
328,961.8,16.0000,16.0000,16.0000,16.0000
329,964.0,16.0000,16.0000,15.9882,16.1538
330,966.2,16.0000,16.0000,15.9950,16.0654
331,968.4,16.0000,16.0000,16.0000,16.0000
332,970.6,16.0000,16.0000,16.0000,16.0000
333,972.8,16.0000,16.0000,16.0000,16.0000
334,975.0,16.0000,16.0000,16.0000,16.0000
335,977.2,16.0000,16.0000,16.0000,16.0000
336,979.4,16.0000,16.0000,16.0000,16.0000
337,981.6,16.0000,16.0000,15.9917,16.1077
338,983.8,16.0000,16.0000,16.0000,16.0000
339,986.0,16.0000,16.0000,15.9973,16.0346
340,988.2,16.0000,16.0000,16.0000,16.0000
341,990.4,16.0000,16.0000,15.9988,16.0154
342,992.6,16.0000,16.0000,15.9823,16.2308
343,994.8,16.0000,16.0000,15.9932,16.0885
344,997.0,16.0000,16.0000,15.9693,16.4000
345,999.2,16.0000,16.0000,16.0000,16.0000
346,1001.4,16.0000,16.0000,16.0000,16.0000
347,1003.6,16.0000,16.0000,16.0000,16.0000
348,1005.8,16.0000,16.0000,16.0000,16.0000
349,1008.0,16.0000,16.0000,16.0000,16.0000
350,1010.2,16.0000,16.0000,15.9962,16.0500
351,1012.4,16.0000,16.0000,16.0000,16.0000
352,1014.6,16.0000,16.0000,16.0000,16.0000
353,1016.8,16.0000,16.0000,15.9578,16.5500
354,1019.0,16.0000,16.0000,16.0000,16.0000
355,1021.2,16.0000,16.0000,15.9793,16.2692
356,1023.4,16.0000,16.0000,16.0000,16.0000
357,1025.6,16.0000,16.0000,15.9846,16.2000
358,1027.8,16.0000,16.0000,15.9598,16.5231
359,1030.0,16.0000,16.0000,16.0000,16.0000
360,1032.2,16.0000,16.0000,16.0000,16.0000
361,1034.4,16.0000,16.0000,16.0000,16.0000
362,1036.6,16.0000,16.0000,16.0000,16.0000
363,1038.8,16.0000,16.0000,15.9994,16.0077
364,1041.0,16.0000,16.0000,15.9988,16.0154
365,1043.2,16.0000,16.0000,16.0000,16.0000
366,1045.4,16.0000,16.0000,15.9956,16.0577
367,1047.6,16.0000,16.0000,15.9900,16.1308
368,1049.8,16.0000,16.0000,16.0000,16.0000
369,1052.0,16.0000,16.0000,15.9905,16.1231
370,1054.2,16.0000,16.0000,16.0000,16.0000
371,1056.4,16.0000,16.0000,16.0000,16.0000
372,1058.6,16.0000,16.0000,16.0000,16.0000
373,1060.8,16.0000,16.0000,15.9997,16.0038
374,1063.0,16.0000,16.0000,15.9976,16.0308
375,1065.2,16.0000,16.0000,16.0000,16.0000
376,1067.4,16.0000,16.0000,15.9846,16.2000
377,1069.6,16.0000,16.0000,16.0000,16.0000
378,1071.8,16.0000,16.0000,16.0000,16.0000
379,1074.0,16.0000,16.0000,15.9979,16.0269
380,1076.2,16.0000,16.0000,15.9926,16.0962
381,1078.4,16.0000,16.0000,16.0000,16.0000
382,1080.6,16.0000,16.0000,16.0000,16.0000
383,1082.8,16.0000,16.0000,16.0000,16.0000
384,1085.0,16.0000,16.0000,16.0000,16.0000
385,1087.2,16.0000,16.0000,15.9873,16.1654
386,1089.4,16.0000,16.0000,16.0000,16.0000
387,1091.6,16.0000,16.0000,15.9938,16.0808
388,1093.8,16.0000,16.0000,15.9982,16.0231
389,1096.0,16.0000,16.0000,15.9498,16.6538
390,1098.2,16.0000,16.0000,15.9861,16.1808
391,1100.4,16.0000,16.0000,16.0000,16.0000
392,1102.6,16.0000,16.0000,15.9790,16.2731
393,1104.8,16.0000,16.0000,16.0000,16.0000
394,1107.0,16.0000,16.0000,16.0000,16.0000
395,1109.2,16.0000,16.0000,15.9979,16.0269
396,1111.4,16.0000,16.0000,15.9932,16.0885
397,1113.6,16.0000,16.0000,16.0000,16.0000
398,1115.8,16.0000,16.0133,15.9733,16.5346
399,1118.0,16.0029,17.1933,17.2850,16.0000
400,1120.2,16.0457,18.9933,19.2152,16.1038
401,1122.4,16.1057,19.3533,19.5263,17.1000
402,1124.6,16.1200,19.4600,19.7256,16.0000
403,1126.8,16.0886,18.5667,18.7339,16.3885
404,1129.0,16.0029,16.5333,16.5622,16.1577
405,1131.2,16.0000,16.0000,15.9539,16.6000
406,1133.4,16.0143,16.0000,16.0000,16.0000
407,1135.6,16.0000,16.0000,15.9970,16.0385
408,1137.8,16.0000,16.0000,15.9870,16.1692
409,1140.0,16.0000,16.0000,16.0000,16.0000
410,1142.2,16.0000,16.0000,15.9947,16.0692
411,1144.4,16.0000,16.0000,15.9220,17.0154
412,1146.6,16.0000,16.0000,16.0000,16.0000
413,1148.8,16.0000,16.0000,16.0000,16.0000
414,1151.0,16.0000,16.0000,15.9548,16.5885
415,1153.2,16.0000,16.0000,15.9445,16.7231
416,1155.4,16.0000,16.0000,15.9997,16.0038
417,1157.6,16.0000,16.0000,15.9997,16.0038
418,1159.8,16.0000,16.0000,16.0000,16.0000
419,1162.0,16.0000,16.0000,15.9560,16.5731
420,1164.2,16.0000,16.0000,15.9953,16.0615
421,1166.4,16.0000,16.0000,15.9250,16.9769
422,1168.6,16.0000,16.0000,16.0000,16.0000
423,1170.8,16.0000,16.0000,16.0000,16.0000
424,1173.0,16.0000,16.0000,16.0000,16.0000
425,1175.2,16.0000,16.0000,15.9929,16.0923
426,1177.4,16.0000,16.0000,16.0000,16.0000
427,1179.6,16.0000,16.0000,15.9764,16.3077
428,1181.8,16.0000,16.0000,15.9779,16.2885
429,1184.0,16.0000,16.0000,15.9997,16.0038
430,1186.2,16.0000,16.0000,15.9835,16.2154
431,1188.4,16.0000,16.0000,15.9932,16.0885
432,1190.6,16.0000,16.0000,16.0000,16.0000
433,1192.8,16.0000,16.0000,16.0000,16.0000
434,1195.0,16.0000,16.0000,15.9997,16.0038
435,1197.2,16.0000,16.0000,16.0000,16.0000
436,1199.4,16.0000,16.0000,15.9950,16.0654
437,1201.6,16.0000,16.0000,15.9557,16.5769
438,1203.8,16.0000,16.0000,16.0000,16.0000
439,1206.0,16.0000,16.0000,15.9994,16.0077
440,1208.2,16.0000,16.0000,15.9985,16.0192
441,1210.4,16.0000,16.0000,15.9985,16.0192
442,1212.6,16.0000,16.0000,16.0000,16.0000
443,1214.8,16.0000,16.0000,16.0000,16.0000
444,1217.0,16.0000,16.0000,15.9711,16.3769
445,1219.2,16.0000,16.0000,16.0000,16.0000
446,1221.4,16.0000,16.0000,16.0000,16.0000
447,1223.6,16.0000,16.0000,16.0000,16.0000
448,1225.8,16.0000,16.0000,15.9991,16.0115
449,1228.0,16.0000,16.0000,16.0000,16.0000
450,1230.2,16.0000,16.0000,15.9997,16.0038
451,1232.4,16.0000,16.0000,16.0000,16.0000
452,1234.6,16.0000,16.0000,16.0000,16.0000
453,1236.8,16.0000,16.0000,16.0000,16.0000
454,1239.0,16.0000,16.0000,15.9519,16.6269
455,1241.2,16.0000,16.0000,15.9802,16.2577
456,1243.4,16.0000,16.0000,16.0000,16.0000
457,1245.6,16.0000,16.0000,16.0000,16.0000
458,1247.8,16.0000,16.0000,16.0000,16.0000
459,1250.0,16.0000,16.0000,16.0000,16.0000
460,1252.2,16.0000,16.0000,15.9917,16.1077
461,1254.4,16.0000,16.0000,15.9908,16.1192
462,1256.6,16.0000,16.0400,16.0431,16.0000
463,1258.8,16.0000,16.1133,16.1220,16.0000
464,1261.0,16.0000,16.0133,16.0129,16.0192
465,1263.2,16.0000,16.0000,16.0000,16.0000
466,1265.4,16.0000,16.0000,15.9994,16.0077
467,1267.6,16.0000,16.1600,16.1162,16.7308
468,1269.8,16.0000,16.0000,15.9905,16.1231
469,1272.0,16.0000,16.0000,15.9997,16.0038
470,1274.2,16.0000,16.0000,15.9979,16.0269
471,1276.4,16.0000,16.0000,16.0000,16.0000
472,1278.6,16.0000,16.0000,15.9932,16.0885
473,1280.8,16.0000,16.0000,15.9882,16.1538
474,1283.0,16.0000,16.0000,16.0000,16.0000
475,1285.2,16.0000,16.0000,16.0000,16.0000
476,1287.4,16.0000,16.0000,15.9923,16.1000
477,1289.6,16.0000,16.0000,16.0000,16.0000
478,1291.8,16.0000,16.0000,15.9717,16.3692
479,1294.0,16.0000,16.0000,15.9914,16.1115